region_name,a,b,c,result
Afghanistan,68.73002304,0.277001677,26.58215238,3
Albania,112.3686326,0.300613584,9.135057405,3
Algeria,315.2617813,0.369859252,25.99699358,3
Andorra,164.6541383,0.564289169,19.34495546,3
Antigua and Barbuda,2.581070953,0.248195576,6.596767486,3
Argentina,453.2959915,0.421367842,19.81194771,3
Armenia,257.8363346,0.472874975,19.42689222,3
Aruba,0,0,0,3
Australia,2249.014478,0.389467366,55.74793518,1
Austria,5333.984189,0.394149149,25.00902472,2
Azerbaijan,96.82505598,0.289708405,19.84221071,3
Bahrain,346.2715873,0.217864341,18.11106525,3
Bangladesh,39.18358361,0.417053802,12.49798683,3
Barbados,19.61818924,0.797187317,5.209472441,3
Belarus,86.89325435,0.334198372,18.87506434,3
Belgium,4372.054669,0.383661934,45.23656658,-1
Benin,6.618899549,0.431634994,6.645746078,3
Bhutan,1.318915017,0.825028228,0.97269833000000006,3
Bolivia,30.71948062,0.315999594,8.812965162,3
Bosnia and Herzegovina,175.7200183,0.458938031,16.21885518,3
Brazil,2574.684587,0.55226606600000006,25.23023249,1
Brunei,92.19696951,0.430111496,7.205190503,3
Bulgaria,233.4898757,0.406718817,12.10225795,3
Burkina Faso,123.4763334,0.580147089,11.88757906,3
Cambodia,92.7924119,0.523438735,53.32611179,3
Cameroon,0,0,0,3
Canada,3002.094191,0.435270362,56.34871367,-1
Central African Republic,3.167982999,0.596438081,4.308681989,3
Chile,1000.162761,0.466633622,18.60162307,3
China,75684.78286,0.240688598,18.41823298,-1
Colombia,421.0718183,0.455595866,16.24658994,3
Congo (Brazzaville),3.744610092,0.632391343,4.161683283,3
Congo (Kinshasa),44.10326744,0.679621769,10.63215087,3
Costa Rica,198.116172,0.395841951,15.11779479,3
Cote d'Ivoire,70.85015442,8.405674223,13.07207023,3
Croatia,440.1008295,0.459852382,26.18391266,3
Cruise Ship,0,0,0,3
Cuba,51.41076628,0.642436387,10.07687674,3
Cyprus,128.4975479,0.378475077,10.88908869,3
Czechia,0,0,0,3
Denmark,1502.885912,0.368070013,16.92038406,3
Djibouti,3.464241679,0.553233479,4.696192515,3
Dominican Republic,327.4368756,0.868163312,21.54765908,3
Ecuador,1166.914782,0.783707567,21.08734056,3
Egypt,397.6017994,0.316559947,33.21424347,3
Equatorial Guinea,7.802463376,0.805237608,4.263969386,3
Estonia,337.0088173,0.504280736,18.49341661,3
Eswatini,4.868776132,0.481203608,8.150521476,3
Ethiopia,11.39766007,0.526955731,5.781781099,3
Finland,770.6218939,0.332151301,50.02994721,3
France,12569.01481,0.481993221,52.31658893,2
French Guiana,0,0,0,3
Gabon,5.910505513,0.679501255,7.057540025,3
"Gambia, The",0,0,0,3
Georgia,59.62971384,0.247149123,18.37718854,3
