region_name,a,b,c,result
Afghanistan,-0.24065385660847052,-0.28587286082667657,0.5737805667027112,2
Albania,-0.23597106686640304,-0.2608140486024622,-0.5294040668258276,2
Algeria,-0.21419892597905882,-0.1873251011933312,0.5367808141789248,2
Andorra,-0.23036039246088313,0.019019214023249506,0.11617060679796384,2
Antigua and Barbuda,-0.24775219538243204,-0.31644416012371157,-0.6899008393884587,2
Argentina,-0.19938669456068123,-0.13266013555781325,0.14569865573190474,2
Armenia,-0.22036115927319408,-0.07799671620525372,0.12135149076074593,2
Aruba,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Australia,-0.006691001617913077,-0.16651542890396517,2.417941067685538,5
Austria,0.3243521884130852,-0.16154675267330243,0.4743112703197064,2
Azerbaijan,-0.2376390233362603,-0.2723874819906441,0.14761219357945554,2
Bahrain,-0.21087131304857246,-0.3486340515371209,0.038151388063625294,2
Bangladesh,-0.24382443800124354,-0.1372385340026212,-0.31676511056308365,2
Barbados,-0.24592396933322533,0.26618904058995974,-0.7776198882047379,2
Belarus,-0.23870478916294793,-0.2251712309307659,0.08645926151335927,2
Belgium,0.22112906250999045,-0.1726766098017404,1.7533043282460894,5
Benin,-0.24731890242190407,-0.12176382658770477,-0.6868039094901756,2
Bhutan,-0.24788763532723285,0.2957360043697198,-1.0455122852876932,2
Bolivia,-0.24473270742268047,-0.2444852050461207,-0.5497700483009953,2
Bosnia and Herzegovina,-0.2291729304891697,-0.09278769698776274,-0.08149357722274965,2
Brazil,0.028256139482592525,0.006259351788090433,0.48829829870642577,2
Brunei,-0.23813565592986571,-0.1233806824522466,-0.6514300839990232,2
Bulgaria,-0.22297373903093892,-0.14820683268578438,-0.3417871569315485,2
Burkina Faso,-0.23477911717119848,0.03584888557610685,-0.3553613624328264,2
Cambodia,-0.23807175995462732,-0.0243344784541799,2.264808505915438,5
Cameroon,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Canada,0.07412078387554544,-0.11790568823073434,2.4559284575216203,5
Central African Republic,-0.24768921478483244,0.05313816718619355,-0.8345771172505795,2
Chile,-0.14070329185118,-0.0846205307430645,0.06916949449662808,2
China,7.873584432164072,-0.324411155422876,0.057573688460189905,1
Colombia,-0.2028446193027629,-0.09633466526767938,-0.0797399006886077,2
Congo (Brazzaville),-0.247627337849171,0.09129459569092989,-0.8438718860267079,2
Congo (Kinshasa),-0.24329651455900683,0.1414192373136355,-0.43474243359057924,2
Costa Rica,-0.2267696348785722,-0.15975021809222115,-0.15111392975567547,2
Cote d'Ivoire,-0.24042634868422175,8.340913572066723,-0.2804656586399238,2
Croatia,-0.20080264639511267,-0.09181731581456812,0.5485997592276428,2
Cruise Ship,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Cuba,-0.24251235848819813,0.10195518618791825,-0.4698525701771962,2
Cyprus,-0.23424029863434773,-0.1781813102732801,-0.4184961842750068,2
Czechia,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Denmark,-0.08675687058938782,-0.18922398230129264,-0.037135712403337906,2
Djibouti,-0.2476574237373703,0.00728604652775131,-0.8100747196751481,2
Dominican Republic,-0.21289243598610075,0.3415143470606221,0.2554481649979749,2
Ecuador,-0.12280939785957184,0.25188327002770255,0.22634209785497783,2
Egypt,-0.20536314967894131,-0.24389051438406298,0.9931295178681206,5
Equatorial Guinea,-0.2471918960712426,0.2747326423633905,-0.8374043074862801,2
Estonia,-0.21186528615579284,-0.04466645331468939,0.062327570148100926,2
Eswatini,-0.24750670538050226,-0.0691577160164339,-0.5916565455098639,2
Ethiopia,-0.2468061012356801,-0.02060196577075654,-0.7414326537083578,2
Finland,-0.165334956990814,-0.2273437436294918,2.05639110924009,5
France,1.1007318099722918,-0.068319716616521,2.200976096683781,3
French Guiana,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Gabon,-0.2473949190585149,0.14129133838127103,-0.6607660644987079,2
"Gambia, The",-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Georgia,-0.24163039630579544,-0.3175547383259916,0.05497843718399374,2
Germany,2.9902662244571396,-0.08577154790611949,2.2132739680778535,3
Ghana,-0.2416167830806088,-0.07579299766980141,-0.518863558670379,2
Greece,-0.1725121295987597,-0.24811573734379,0.18412963187969075,2
Greenland,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Guadeloupe,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Guam,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Guatemala,-0.2457697303798776,0.13646346941490387,-0.7142873524972442,2
Guernsey,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Guinea,-0.24782447069163488,-0.239320538246433,-0.9982173843837692,2
Guyana,-0.24698948741613175,-0.015409850060679464,-0.7634050181804093,2
Holy See,-0.24790062843654942,0.37888797751191156,-1.0628154604109454,2
Honduras,-0.24489661906583346,0.09822989126043198,-0.5536042576990837,2
Hungary,-0.22543429708030402,-0.19256912297973988,-0.007676302463383944,2
Iceland,-0.17168329722159564,-0.25182737998302807,0.20944575783647496,2
India,-0.180988795197809,-0.2329519431764998,2.1419866922142883,5
Indonesia,-0.17126054369548258,-0.1436747314597682,0.06746539429281533,2
Iran,1.9291346090422365,-0.28475410971769566,0.30786032009963255,2
Iraq,-0.2165693368634792,-0.34907902125570106,0.2799470933810743,2
Ireland,-0.09938680039197108,-0.06362548703860774,0.23115108156705186,2
Israel,-0.02124238913039905,-0.14845926523598948,0.802119508536921,2
Italy,5.862734597521476,-0.2094841913785375,1.7654263005995068,1
Jamaica,-0.24609645719208448,-0.11365382505493113,-0.7849034953175048,2
Japan,-0.13994947281606732,-0.39288744084740046,1.816679230388442,5
Jersey,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Jordan,-0.23226693069643853,-0.010345883744722536,-1.5680943081365238e-4,2
Kazakhstan,-0.24105773727574611,0.06384054552909063,-0.7410258903067416,2
Kenya,-0.24509307857475365,-0.012426701970139986,-0.4862472820313723,2
"Korea, South",0.6372086944255945,-0.22571383616040433,1.4676657339319323,5
Kosovo,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Kuwait,-0.22777992419711607,-0.415228882048727,-0.012432220166187204,2
Kyrgyzstan,-0.24233206253044023,0.21086553564767124,-0.7173031693326586,2
Latvia,-0.2259346774769506,-0.13014187101799707,0.06899427771065286,2
Lebanon,-0.21411616696584843,-0.31452024239167814,0.6125965355621878,2
Liberia,-0.24771611490647222,0.21239351367237877,-0.9450418959367038,2
Liechtenstein,-0.2428730917943462,0.0747106451622452,-0.11205362835995422,2
Lithuania,-0.22307240747075774,0.18495367933773815,0.3825710285443511,2
Luxembourg,-0.12871283399474548,0.06533912189073643,0.24418443425510578,2
Malaysia,-0.07621648595858503,-0.18114491067280256,2.3022178123193875,5
Maldives,-0.24664409192594705,-0.029927756423702774,-0.8828974525657517,2
Malta,-0.23493722695775077,-0.17397886129159387,-0.2592907180534436,2
Martinique,-0.24152220826342002,-0.1759169736252534,-0.233149942202626,2
Mauritania,-0.2478135118464904,-0.05183213443221474,-0.9347215609774316,2
Mauritius,-0.24290115044718155,0.3036589619122879,-0.7893489234048765,2
Mayotte,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Mexico,-0.20476064661699805,-0.0907822146869086,0.3226260856122572,2
Moldova,-0.23363031016705949,-0.10097424324145504,-0.2850166874850565,2
Monaco,-0.24523563298591444,-0.10370534614848798,0.22643818131803112,2
Mongolia,-0.24695145057267595,0.05848448349682966,-0.5456851812524467,2
Montenegro,-0.2423531539734546,0.18797873413739258,-0.7043061206870459,2
Morocco,-0.2286026023082812,-0.12804654299120147,0.11372152684808418,2
Namibia,-0.24740785296857248,-0.2758151222243819,-0.7220083318398642,2
Nepal,-0.24789618207690856,0.19309280766240944,-1.1425390621148916,2
Netherlands,0.33898297352434625,-0.18582541685679974,0.27789767430234996,2
New Zealand,-0.22889145559742544,0.07183292661299517,0.427441549267634,2
Nigeria,-0.24321117506830417,0.26641001471912534,0.34439934964226937,2
North Macedonia,-0.23068096306802816,-0.02924175016480617,0.43744584166539163,2
Norway,0.021905316671779633,-0.24403356731393175,0.11523311931460174,2
Oman,-0.23925868792428812,-0.3840452058813278,0.4091449893264434,2
Pakistan,-0.14301047856358046,0.0231438638526808,0.37244689896569366,2
Panama,-0.20477446136201047,-0.09817905290201848,-0.35661097605762765,2
Paraguay,-0.244995876118027,-0.2591688534147635,-0.34040070287228424,2
Peru,-0.20162440861828018,-0.03831029006258419,-0.21954642946834604,2
Philippines,-0.18687079881770338,-0.239300473712725,2.0972511833058816,5
Poland,-0.14445094168810926,-0.14548231501262743,-0.02153737171386537,2
Portugal,0.03177494165837722,-0.05943419634039797,0.14110166100521193,2
Puerto Rico,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Qatar,-0.19694750325727187,0.11465540138044583,-0.28641600574400633,2
Republic of the Congo,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Reunion,-0.24802916599868502,-0.5798488200634924,-1.1070162693178411,4
Romania,-0.1591421494814997,-0.2186258119837979,0.45588026700382206,2
Russia,-0.19178615780958544,-0.11509898726331741,2.048746700370838,5
Rwanda,-0.2430814301584464,-0.0231110375151121,-0.5683115517725891,2
Saint Lucia,-0.24778424796913706,0.92489010426479,-1.0308697270664575,2
Saint Vincent and the Grenadines,-0.24792586641693587,0.2984441804745898,-1.150742026504245,2
San Marino,-0.2293575616132737,-0.30972254345409816,-0.03514828744887855,2
Saudi Arabia,-0.15945300347321556,-0.15847447946500876,0.13784170461235587,2
Senegal,-0.2375206022492281,-0.21795782305213932,0.10689608094182798,2
Serbia,-0.21149130040605849,-0.15655838123389368,-0.12131906043777207,2
Seychelles,-0.24727176163694373,0.08464828629135697,-0.8817009292306471,2
Singapore,-0.19649342806999104,-0.4563235644355549,2.066090681658655,5
Slovakia,-0.22571576232502236,-0.1301152403534285,-0.2925710716163166,2
Slovenia,-0.20096451679411084,-0.19302951944443134,-0.37173063573521736,2
Somalia,-0.2479196218467261,0.5892403059143411,-1.0849733344197867,2
South Africa,-0.17907610141928465,-0.09567098618852202,0.016809151547864935,2
Spain,3.5783862929298977,-0.12412781729873676,1.8984335152815222,3
